"Edmonton [Census metropolitan area], Alberta",Characteristic,Note,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag,Total,Total_Flag,Men+,Men+_Flag,Women+,Women+_Flag
In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  COVID-19 benefits and Canada Pension Plan and QuÈbec Pension Plan benefits and disability income.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Receipts excluded from this income definition are:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *employers' contributions to registered pension plans  Canada Pension Plan  QuÈbec Pension Plan and Employment Insurance;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *retirement  disability and survivor benefits from Canada Pension Plan and QuÈbec Pension Plan;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *benefits from Employment Insurance and QuÈbec parental insurance plan;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *child benefits from federal and provincial programs;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *social assistance benefits;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *workers' compensation benefits;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Canada workers benefit (CWB);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Goods and services tax credit and harmonized sales tax credit;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *other income from government sources.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
For the 2021 Census  this includes various benefits from new and existing federal  provincial and territorial government income programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    * income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  COVID-19 benefits and Canada Pension Plan and QuÈbec Pension Plan benefits and disability income.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Receipts excluded from this income definition are:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,,,,
    *employers' contributions to registered pension plans  Canada Pension Plan  QuÈbec Pension Plan and Employment Insurance;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *retirement  disability and survivor benefits from Canada Pension Plan and QuÈbec Pension Plan;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *benefits from Employment Insurance and QuÈbec parental insurance plan;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *child benefits from federal and provincial programs;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *social assistance benefits;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *workers' compensation benefits;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Canada workers benefit (CWB);,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *Goods and services tax credit and harmonized sales tax credit;,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
    *other income from government sources.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
For the 2021 Census  this includes various benefits from new and existing federal  provincial and territorial government income programs intended to provide financial support to individuals affected by the COVID-19 pandemic and the public health measures implemented to minimize the spread of the virus.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census  the reference period for income data is the calendar year 2020  unless otherwise specified.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13,Full-year full-time workers - Persons aged 15 years and over who worked mostly full time (30 hours or more per week) and full year (49 weeks and over per year) in 2020. For more information  see variable work activity in 2020  Dictionary  Census of Population  2021.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,,,,,,,,,,,,,
,,,,,,,,,,,,,,
16,Part year or part time workers - Persons aged 15 years and over who worked mostly part time (less than 30 hours per week) or 48 weeks or less during 2020. For more information  see variable work activity in 2020  Dictionary  Census of Population  2021.,,,,,,,,,,,,,
